group,gene,gold,gold_label,pred,correct,parsed,pmids,raw
famous,APOE,B,0,B,1,True,76,"APOE encodes apolipoprotein E, a key regulator of lipid metabolism and cholesterol transport, with critical roles in brain and peripheral tissue homeostasis. Its absence disrupts lipoprotein assembly and clearance, leading to dyslipidemia and atherosclerosis in humans. In mice, APOE knockout models "
famous,ATM,A,1,A,1,True,23,"The ATM gene encodes a serine/threonine kinase that acts as a central sensor of DNA damage, particularly double-strand breaks, and coordinates the cellular response through phosphorylation of downstream effectors like p53, CHK1, and CHK2. Its role in the DNA damage response (DDR) pathway is critical"
famous,BAX,B,0,A,0,True,13,"The BAX gene encodes a pro-apoptotic member of the BCL-2 family that plays a critical role in mitochondrial apoptosis, particularly in response to DNA damage and cellular stress. Its interactions with pro-apoptotic proteins like BAK and BH3-only proteins (e.g., PUMA, NOXA) position it as a central n"
famous,BUB1B,A,1,A,1,True,6,"The gene BUB1B encodes a mitotic checkpoint kinase critical for chromosome segregation and genomic stability. Its functional partners (BUB1, MAD1L1, MAD2L1, CDC20) and pathways (mitotic checkpoint, spindle assembly) indicate a central role in ensuring proper cell division. Loss of BUB1B would disrup"
famous,BUB3,A,1,B,0,True,3,"The BUB3 gene encodes a component of the mitotic checkpoint complex (MCC), which ensures proper chromosome segregation during cell division. Its interactions with MAD1L1, MAD2L1, and BUB1B highlight its role in the spindle assembly checkpoint (SAC), a critical pathway that delays anaphase onset unti"
famous,CAV1,B,0,A,0,True,36,"The Cav1 gene encodes caveolin-1, a critical structural and regulatory component of caveolae, which are specialized membrane microdomains involved in mechanosensing, lipid raft organization, and signal transduction. Its loss-of-function would disrupt these processes, particularly in tissues reliant "
famous,CDKN1A,B,0,B,1,True,14,"CDKN1A encodes p21, a key cell cycle regulator that enforces G1 arrest in response to DNA damage, oncogene activation, and cellular stress. Its interactions with TP53, RB1, and E2F family members position it at the nexus of DNA damage response and senescence. Loss of CDKN1A would impair cell cycle a"
famous,CEBPB,B,0,B,1,True,17,"CEBPB encodes a transcription factor critical for myeloid differentiation and inflammatory responses, with interactions spanning NF-κB signaling, cytokine regulation, and stress response pathways. Its role in hematopoietic lineage commitment and acute phase response suggests that loss-of-function co"
famous,COQ7,A,1,A,1,True,5,"The gene COQ7 encodes a mitochondrial enzyme critical for the early steps of coenzyme Q (ubiquinone) biosynthesis, a key component of the electron transport chain and antioxidant defense system. Its interaction with other COQ pathway genes (e.g., COQ1, COQ2, COQ4) and involvement in mitochondrial fu"
famous,ERCC1,A,1,A,1,True,8,"The gene ERCC1 encodes a key component of the nucleotide excision repair (NER) pathway, which is critical for repairing DNA damage caused by UV light, chemical carcinogens, and other genotoxic stressors. Its interaction with XPA, XPF, and ERCC6 (CSB) underscores its role in the global genome NER and"
