group,gene,gold,gold_label,pred,correct,parsed,pmids,raw
famous,AGTR1A,B,0,B,1,True,10,"The AGTR1A gene encodes the angiotensin II type 1 receptor, a key mediator of angiotensin II signaling that regulates blood pressure, fluid balance, and vascular tone. This receptor is critical for maintaining systemic hemodynamic stability through its role in vasoconstriction and sodium retention. "
famous,AKT1,B,0,B,1,True,9,"The AKT1 gene encodes a serine/threonine kinase that plays a central role in the PI3K/AKT signaling pathway, which regulates cell survival, growth, metabolism, and stress responses. This pathway is critical for maintaining cellular homeostasis and preventing apoptosis, particularly in response to DN"
famous,APOE,B,0,B,1,True,76,"APOE encodes apolipoprotein E, a key regulator of lipid metabolism and cholesterol transport, with critical roles in brain and peripheral tissue homeostasis. Its absence disrupts lipoprotein assembly and clearance, leading to dyslipidemia and atherosclerosis in humans. In mice, APOE knockout models "
famous,ARHGAP1,A,1,B,0,True,2,"ARHGAP1 encodes a Rho GTPase-activating protein with roles in cytoskeletal regulation, cell migration, and tumor suppression. Its interaction with RAC1 and RHOA suggests involvement in actin dynamics and stress responses. While ARHGAP1 is not a core component of essential pathways like DNA repair or"
famous,ATM,A,1,A,1,True,23,"The ATM gene encodes a serine/threonine kinase that acts as a central sensor of DNA damage, particularly double-strand breaks, and coordinates the cellular response through phosphorylation of downstream effectors like p53, CHK1, and CHK2. Its role in the DNA damage response (DDR) pathway is critical"
famous,ATR,A,1,A,1,True,2,"The ATR gene encodes a serine/threonine kinase that plays a central role in the cellular response to DNA damage, particularly in the activation of the DNA damage checkpoint. Its protein product interacts with multiple key players in DNA repair pathways, including BRCA1, BRCA2, and RAD51, and is crit"
famous,BAX,B,0,B,1,True,13,"The BAX gene encodes a pro-apoptotic member of the BCL-2 family that plays a critical role in mitochondrial apoptosis, particularly in response to DNA damage and cellular stress. Its interactions with pro-apoptotic proteins like BAK and BH3-only proteins (e.g., PUMA, NOXA) position it as a central n"
famous,BUB1B,A,1,A,1,True,6,"The gene BUB1B encodes a mitotic checkpoint kinase critical for chromosome segregation and genomic stability. Its functional partners (BUB1, MAD1L1, MAD2L1, CDC20) and pathways (mitotic checkpoint, spindle assembly) highlight its role in ensuring proper cell division. Loss of BUB1B disrupts the spin"
famous,BUB3,A,1,A,1,True,3,"The BUB3 gene encodes a component of the mitotic checkpoint complex (MCC), which ensures proper chromosome segregation during cell division. This complex includes BUB1, BUB3, MAD1L1, and MAD2L1, and it monitors kinetochore-microtubule attachments to prevent anaphase onset until all chromosomes are c"
famous,CAV1,B,0,A,0,True,36,"The Cav1 gene encodes caveolin-1, a critical structural and regulatory component of caveolae, which are specialized membrane microdomains involved in mechanosensing, lipid raft organization, and signal transduction. Its loss-of-function would disrupt these processes, particularly in tissues reliant "
famous,CDC14B,A,1,B,0,True,1,"The gene CDC14B encodes a protein phosphatase that antagonizes cyclin-dependent kinases (CDKs) by dephosphorylating CDK substrates, thereby regulating cell cycle progression. Its interaction with CDK1, CDK2, and CDK4, along with its role in the G2/M phase of the cell cycle, suggests a critical funct"
famous,CDKN1A,B,0,B,1,True,14,"CDKN1A encodes p21, a key cell cycle regulator that enforces G1 arrest in response to DNA damage, oncogene activation, and cellular stress. Its interactions with TP53, RB1, and E2F family members position it at the nexus of DNA damage response and senescence. Loss of CDKN1A would impair cell cycle a"
famous,CEBPA,B,0,B,1,True,10,"The CEBPA gene encodes a transcription factor critical for myeloid differentiation and immune homeostasis. Its absence disrupts granulocyte maturation and alters inflammatory signaling, as evidenced by its role in NF-κB pathway regulation and cytokine production. While CEBPA knockout mice exhibit im"
famous,CEBPB,B,0,B,1,True,17,"CEBPB encodes a transcription factor critical for myeloid differentiation and inflammatory responses, with interactions spanning NF-κB signaling, cytokine regulation, and stress response pathways. Its role in hematopoietic lineage commitment and acute phase response suggests that loss-of-function co"
famous,CISD2,A,1,A,1,True,2,The gene CISD2 encodes a mitochondrial inner membrane protein with roles in iron-sulfur cluster biogenesis and apoptosis regulation. Its interaction with SLC25A3 (mitochondrial carrier) and SOD2 (mitochondrial superoxide dismutase) suggests involvement in mitochondrial iron homeostasis and oxidative
famous,COQ7,A,1,A,1,True,5,"The gene COQ7 encodes a mitochondrial enzyme critical for the early steps of coenzyme Q (ubiquinone) biosynthesis, a key component of the electron transport chain and antioxidant defense system. Its interaction with other COQ pathway genes (e.g., COQ1, COQ2, COQ4) and involvement in mitochondrial fu"
famous,DMD,B,0,A,0,True,8,"The DMD gene encodes dystrophin, a critical structural protein that links the cytoskeleton to the extracellular matrix in muscle and other tissues. Its absence disrupts mechanical stability, leading to progressive muscle degeneration and systemic complications. In mice, dystrophin deficiency causes "
