group,gene,gold,gold_label,pred,correct,parsed,pmids,raw
famous,APOE,B,0,B,1,True,76,"APOE knockout mice are viable and fertile. They are well-known for developing hypercholesterolemia and atherosclerosis, but under standard laboratory conditions (normal chow, pathogen-free environment) they do not show dramatically shortened lifespans compared to wild-type mice. The primary phenotyp"
famous,ATM,A,1,A,1,True,23,"ATM (Ataxia Telangiectasia Mutated) is a key DNA damage response kinase. Homozygous ATM knockout mice are well-characterized in the literature. They develop normally but exhibit growth retardation, immune deficiency (due to impaired V(D)J recombination), infertility, and most critically, they develo"
famous,BAX,B,0,A,0,True,13,"BAX is a pro-apoptotic member of the BCL-2 family. Loss of BAX reduces apoptosis, which can lead to accumulation of cells that would normally be eliminated, contributing to tumorigenesis and autoimmune disease over time. However, BAX knockout mice are viable and fertile, and while they develop lymph"
famous,BUB1B,A,1,A,1,True,6,"BUB1B encodes BUBR1 (also known as MAD3L), a key spindle assembly checkpoint (SAC) kinase. Homozygous loss of BUB1B in mice leads to severe mitotic defects, massive chromosomal instability, and aneuploidy. Studies have shown that Bub1b homozygous knockout mice die very early in embryonic development"
famous,BUB3,A,1,A,1,True,3,"BUB3 is a spindle assembly checkpoint (SAC) gene. In mice, complete homozygous knockout of BUB3 is embryonic lethal — BUB3-null embryos die early in development due to massive chromosome missegregation and mitotic failure. This constitutes a severe impairment of survival (premature death).  Answer: "
famous,CAV1,B,0,B,1,True,36,"CAV1 encodes Caveolin-1, a key structural protein of caveolae. CAV1 knockout mice are viable and fertile. They do not show premature death or significantly shortened lifespan under standard laboratory conditions, though they do exhibit various metabolic and vascular phenotypes (lipodystrophy, pulmon"
famous,CDKN1A,B,0,B,1,True,14,"CDKN1A encodes p21 (CIP1/WAF1), a cyclin-dependent kinase inhibitor involved in cell cycle arrest, senescence, and DNA damage responses. Mice with homozygous knockout of CDKN1A are viable and fertile. They do not show dramatically shortened lifespans under normal conditions, though they have increas"
famous,CEBPB,B,0,B,1,True,17,"CEBPB (C/EBPβ) knockout mice have been generated and studied. These mice are viable and can survive to adulthood, though they show various immune and metabolic defects (impaired inflammatory responses, defects in mammary gland development, female infertility, etc.). However, CEBPB knockout mice are "
famous,COQ7,A,1,A,1,True,5,COQ7 encodes a hydroxylase required for coenzyme Q (ubiquinone) biosynthesis. Coenzyme Q is essential for the mitochondrial electron transport chain. Complete loss of COQ7 in mice leads to severe mitochondrial dysfunction. Studies have shown that homozygous Coq7 knockout mice are embryonic lethal — 
famous,ERCC1,A,1,A,1,True,8,ERCC1 is a key component of the nucleotide excision repair (NER) pathway. ERCC1-deficient mice are well-established in the literature to exhibit accelerated aging phenotypes and significantly shortened lifespans. Homozygous ERCC1 knockout mice typically die within 3-4 weeks of age due to liver failu
famous,ERCC2,A,1,A,1,True,3,"ERCC2 (also known as XPD) encodes a DNA helicase that is a component of the TFIIH complex, involved in nucleotide excision repair (NER). In humans, mutations in ERCC2 cause xeroderma pigmentosum, Cockayne syndrome, or trichothiodystrophy, all associated with accelerated aging and reduced lifespan.  "
famous,FGF23,A,1,A,1,True,5,"FGF23 knockout mice are well-characterized in the literature. They develop severe hyperphosphatemia, hypervitaminosis D, ectopic calcifications, and a syndrome resembling tumoral calcinosis/hyperphosphatemic familial tumoral calcinosis. These mice show growth retardation, infertility, muscle wasting"
famous,FN1,A,1,A,1,True,8,"FN1 encodes fibronectin, an extracellular matrix glycoprotein critical for cell adhesion, migration, and tissue organization. Homozygous knockout of FN1 in mice is embryonic lethal — fibronectin-null embryos die around embryonic day 8.5 due to severe defects in mesoderm formation, notochord developm"
famous,FXN,A,1,A,1,True,7,"FXN encodes frataxin, a mitochondrial protein essential for iron-sulfur cluster assembly. In humans, loss of frataxin causes Friedreich's ataxia, a severe progressive disease. In mice, complete homozygous knockout of FXN (frataxin) is embryonic lethal — mice die early in embryogenesis (around embryo"
famous,HTT,B,0,A,0,True,11,"HTT (Huntingtin) is essential for embryonic development. Complete knockout of HTT in mice results in embryonic lethality around embryonic day 7.5-8.5 due to defects in gastrulation. Homozygous Htt knockout mice do not survive to birth, let alone to adulthood.  Answer: A"
famous,IGF1,B,0,B,1,True,12,"IGF1 knockout mice are viable and fertile. They are small (dwarfism) but do not die prematurely — in fact, reduced IGF1 signaling is associated with extended lifespan in mice. The homozygous IGF1 knockout mice survive to adulthood and have normal or even extended lifespans compared to wild-type cont"
famous,IRS1,B,0,B,1,True,10,"IRS1 (Insulin Receptor Substrate 1) knockout mice are well-characterized in the literature. These mice are viable and fertile, though they exhibit insulin resistance and growth retardation (they are smaller than wild-type littermates). Importantly, IRS1 knockout mice do not show premature death; in "
famous,IRS2,B,0,A,0,True,11,IRS2 (insulin receptor substrate 2) is a key signaling molecule in the insulin/IGF-1 pathway. Homozygous IRS2 knockout mice develop type 2 diabetes due to pancreatic beta-cell failure combined with peripheral insulin resistance. These mice typically die prematurely from diabetic complications. Studi
famous,KL,A,1,A,1,True,4,"The gene KL encodes Klotho, a well-characterized aging-suppressor protein. Homozygous Klotho knockout mice display a severe premature aging syndrome, including growth retardation, infertility, arteriosclerosis, skin atrophy, osteoporosis, and emphysema, and they die prematurely (typically around 8–9"
famous,LMNA,B,0,A,0,True,13,"LMNA encodes Lamin A/C, a nuclear lamina structural protein. Homozygous LMNA knockout mice are well-characterized in the literature. They are born at normal Mendelian ratios but develop a severe progeroid/muscular dystrophy-like syndrome, with cardiac and skeletal muscle defects, and die prematurely"
famous,MSH2,A,1,A,1,True,11,"MSH2 is a key mismatch repair (MMR) gene. Homozygous MSH2 knockout mice are viable but develop tumors (primarily lymphomas and intestinal tumors) at a high frequency, typically dying prematurely from cancer within the first year of life. This is well-established in the literature — Msh2−/− mice have"
