group,gene,gold,gold_label,pred,correct,parsed,pmids,raw
famous,AGTR1A,B,0,B,1,True,10,"AGTR1A encodes the angiotensin II type 1a receptor in mice. Loss-of-function of AGTR1A (Agtr1a knockout mice) has been well studied. These mice are viable and fertile. Interestingly, Agtr1a knockout mice have actually been reported to have an extended lifespan compared to wild-type controls, associa"
famous,AKT1,B,0,B,1,True,9,"AKT1 is one of three AKT isoforms (AKT1, AKT2, AKT3). In mice, homozygous knockout of AKT1 results in viable animals that are smaller than wild-type (growth retardation) but are generally not reported to die prematurely under normal laboratory conditions. The mice survive to adulthood and reproduce,"
famous,APOE,B,0,B,1,True,76,"APOE knockout mice are viable and fertile. They are well-known for developing hypercholesterolemia and atherosclerosis, but under standard laboratory conditions (normal chow, pathogen-free environment) they do not show dramatically shortened lifespans compared to wild-type mice. The primary phenotyp"
famous,ARHGAP1,A,1,A,1,True,2,"ARHGAP1 encodes a Rho GTPase-activating protein (RhoGAP). Based on available literature, ARHGAP1 (also known as CDC42GAP or p50RhoGAP) knockout mice have been studied. The Cdc42GAP (ARHGAP1) knockout mouse model shows that loss of this gene leads to multi-organ defects and premature death. Specifica"
famous,ATM,A,1,A,1,True,23,ATM (Ataxia Telangiectasia Mutated) is a key DNA damage response kinase. Homozygous ATM knockout mice are well-characterized in the literature. They develop thymic lymphomas at a young age (typically within 2-4 months) and die prematurely due to these malignancies. This is a well-established phenoty
famous,ATR,A,1,A,1,True,2,"ATR (Ataxia Telangiectasia and Rad3-related) is a critical kinase involved in the DNA damage response, particularly in response to replication stress and single-stranded DNA breaks. Complete homozygous knockout of ATR in mice is embryonic lethal — ATR-null embryos die very early in development (arou"
famous,BAX,B,0,A,0,True,13,"BAX is a pro-apoptotic member of the BCL-2 family. Loss of BAX reduces apoptosis, which can lead to accumulation of cells that would normally be eliminated, contributing to tumorigenesis and autoimmune disease over time. However, BAX knockout mice are viable and fertile, and while they develop lymph"
famous,BUB1B,A,1,A,1,True,6,"BUB1B encodes BUBR1 (also known as MAD3L), a key spindle assembly checkpoint (SAC) kinase. Homozygous loss of BUB1B in mice leads to severe mitotic checkpoint deficiency, massive chromosomal instability, and early embryonic lethality or, in hypomorphic models, accelerated aging and premature death. "
famous,BUB3,A,1,A,1,True,3,"BUB3 is a spindle assembly checkpoint (SAC) gene involved in ensuring proper chromosome segregation during mitosis. In mice, complete loss of BUB3 (homozygous knockout) has been studied. BUB3 homozygous null mice are not viable — the complete knockout is embryonic lethal. This means homozygous loss-"
famous,CAV1,B,0,B,1,True,36,"CAV1 encodes Caveolin-1, a key structural protein of caveolae. CAV1 knockout mice are viable and fertile. They do not show premature death or significantly shortened lifespan under standard laboratory conditions. The main phenotypes include pulmonary fibrosis, vascular abnormalities, and metabolic c"
famous,CDC14B,A,1,B,0,True,1,"CDC14B encodes a dual-specificity phosphatase involved in cell cycle regulation, particularly in DNA damage response and mitotic exit. Studies on CDC14B knockout mice have been published, and these mice are generally viable and fertile without dramatic survival defects. The CDC14B knockout mice show"
famous,CDKN1A,B,0,B,1,True,14,"CDKN1A encodes p21 (CIP1/WAF1), a cyclin-dependent kinase inhibitor involved in cell cycle arrest, senescence, and DNA damage responses. Mice with homozygous knockout of CDKN1A are viable and fertile. They do not show dramatically shortened lifespans under normal conditions, though they have increas"
famous,CEBPA,B,0,A,0,True,10,CEBPA (CCAAT/enhancer-binding protein alpha) is a transcription factor critical for myeloid differentiation and liver function. Homozygous knockout of CEBPA in mice is well-documented to be lethal. CEBPA-null mice die shortly after birth (within hours to days) due to hypoglycemia caused by failure o
famous,CEBPB,B,0,B,1,True,17,"CEBPB (C/EBPβ) knockout mice have been generated and studied. These mice are viable and can survive to adulthood, though they show various immune and metabolic defects (impaired inflammatory responses, defects in mammary gland development, female infertility, etc.). However, CEBPB knockout mice are "
famous,CISD2,A,1,A,1,True,2,"CISD2 (also known as Miner1/NAF-1/WFS2) is a mitochondria-associated gene. Studies in mice have shown that homozygous CISD2 knockout leads to accelerated aging phenotypes and significantly shortened lifespan. CISD2-null mice develop a progeroid syndrome with early onset neurodegeneration, muscle atr"
famous,COQ7,A,1,A,1,True,5,COQ7 encodes a hydroxylase required for coenzyme Q (ubiquinone) biosynthesis. Coenzyme Q is essential for the mitochondrial electron transport chain. Complete loss of COQ7 in mice leads to severe mitochondrial dysfunction. Studies have shown that homozygous Coq7 knockout mice are embryonic lethal — 
famous,DMD,B,0,B,1,True,8,"DMD encodes dystrophin. In humans, loss of dystrophin causes Duchenne muscular dystrophy (DMD), a severe progressive muscle-wasting disease. However, the mdx mouse (which carries a nonsense mutation in the DMD gene, effectively a loss-of-function) is the classic mouse model of DMD. Notably, mdx mice"
famous,EEF1E1,A,1,B,0,True,1,"EEF1E1 (also known as p18/AIMP3) is a component of the aminoacyl-tRNA synthetase complex. It has roles in DNA damage response and tumor suppression. In mice, EEF1E1 knockout has been studied and the mice are viable and do not show dramatically shortened lifespan under normal conditions, though they "
