group,gene,gold,gold_label,pred,correct,parsed,pmids,raw
famous,AGTR1A,B,0,B,1,True,10,"The AGTR1A gene encodes the angiotensin II type 1 receptor, a key mediator of angiotensin II signaling that regulates blood pressure, fluid balance, and vascular tone. This receptor is critical for maintaining systemic hemodynamic stability through its role in vasoconstriction and sodium retention. "
famous,AKT1,B,0,B,1,True,9,"The AKT1 gene encodes a serine/threonine kinase that plays a central role in cell survival, growth, and metabolism through its regulation of the PI3K/AKT/mTOR signaling pathway. This pathway integrates signals from growth factors, nutrients, and stress to modulate cellular processes such as prolifer"
famous,AKT2,B,0,B,1,True,8,"The AKT2 gene encodes a serine/threonine kinase that functions as a central node in the PI3K-AKT signaling pathway, which regulates cell survival, metabolism, and growth. Its protein product interacts with multiple partners (e.g., AKT1, AKT3, RPTOR, MTOR) and is regulated by upstream activators like"
famous,APOE,B,0,B,1,True,76,"APOE encodes apolipoprotein E, a key regulator of lipid metabolism and cholesterol transport, with critical roles in brain and peripheral tissue homeostasis. Its absence disrupts lipoprotein assembly and clearance, leading to dyslipidemia and atherosclerosis in humans. In mice, APOE knockout models "
famous,ARHGAP1,A,1,B,0,True,2,"ARHGAP1 encodes a Rho GTPase-activating protein with roles in cytoskeletal regulation, cell migration, and tumor suppression. Its interaction with RAC1 and RHOA suggests involvement in actin dynamics and stress responses. While ARHGAP1 is not a core component of essential pathways like DNA repair or"
famous,ATM,A,1,A,1,True,23,"The ATM gene encodes a serine/threonine kinase that acts as a central sensor of DNA damage, particularly double-strand breaks, and coordinates the cellular response through phosphorylation of downstream effectors like p53, CHK1, and CHK2. Its role in the DNA damage response (DDR) pathway is critical"
famous,ATR,A,1,A,1,True,2,"The ATR gene encodes a serine/threonine kinase that plays a central role in the cellular response to DNA damage, particularly in the activation of the DNA damage checkpoint. It phosphorylates key proteins such as CHK1, BRCA1, and NBS1, which are critical for cell cycle arrest, DNA repair, and genomi"
famous,BAX,B,0,B,1,True,13,"The BAX gene encodes a pro-apoptotic member of the BCL-2 family that plays a critical role in mitochondrial apoptosis, particularly in response to cellular stress and DNA damage. Its interactions with pro-apoptotic proteins like BAK and BH3-only proteins (e.g., PUMA, NOXA) position it as a central n"
famous,BUB1B,A,1,A,1,True,6,"The gene BUB1B encodes a mitotic checkpoint kinase critical for chromosome segregation and genomic stability. Its functional partners (BUB1, MAD1L1, MAD2L1, CDC20) and pathways (mitotic checkpoint, spindle assembly) indicate a central role in ensuring proper cell division. Loss of BUB1B would disrup"
famous,BUB3,A,1,B,0,True,3,"The BUB3 gene encodes a component of the mitotic checkpoint complex (MCC), which ensures proper chromosome segregation during cell division. Its interactions with MAD1L1, MAD2L1, and BUB1B highlight its role in the spindle assembly checkpoint (SAC), a critical pathway that delays anaphase onset unti"
